frY;frI;frC;frS;frEx;FrImp;frH;frP;frR;grY;grI;grC;grS;grEx;grImp;grH;grP;grR
0.914381144;0.247640112;0.811369091;0.632162527;0.323725888;0.377646594;2.876865513;0.001204862;-0.000301;0.972122446;0.26705097;0.681300577;0.681300577;0.648949318;0.546384785;2.949191697;0.002176237;-0.000301
0.919054446;0.257438044;0.813983958;0.634240611;0.286707048;0.338364998;2.876350931;-0.001046108;-0.000504;0.973669781;0.268983316;0.685629584;0.685629584;0.60944603;0.51320731;2.948998636;-0.000222031;-0.000504
0.916142558;0.243460608;0.811797681;0.63189164;0.2878426;0.33497146;2.875717245;0.000923663;-0.001185;0.972977495;0.253462398;0.686219134;0.686219134;0.608374573;0.505770307;2.950289179;0.004187413;-0.001185
0.919989912;0.257461313;0.814047055;0.634597725;0.27920856;0.329156225;2.876028904;0.000361665;-0.001357;0.974313916;0.261427103;0.687969615;0.687969615;0.606784466;0.509515353;2.948170682;0.003153992;-0.001357
0.921965266;0.266112641;0.81437381;0.636937135;0.270797191;0.329524805;2.875902627;0.000405707;-0.00199;0.977968131;0.268419862;0.693183284;0.693183284;0.596388044;0.494570776;2.94689467;0.001773642;-0.00199
0.9260021;0.26994861;0.819068114;0.64115255;0.273979523;0.327240477;2.875494745;-0.000174597;-0.002877;0.985179897;0.28679479;0.698439001;0.698439001;0.602061399;0.505686041;2.947919007;0.001312289;-0.002877
0.919698859;0.243861593;0.816214002;0.637300124;0.273795291;0.32183804;2.876072123;-2.88347E-05;-0.003325;0.983052456;0.272875807;0.696942089;0.696942089;0.608527247;0.501132167;2.948399045;0.000576752;-0.003325
0.92084417;0.259125494;0.817725976;0.640041009;0.2717837;0.331124181;2.876071047;0.001212993;-0.00343;0.982442424;0.275824912;0.698819647;0.698819647;0.601135616;0.502468541;2.949760978;0.002154599;-0.00343
0.922568065;0.256439286;0.82074518;0.642423135;0.269018007;0.327520078;2.876139363;0.002166998;-0.003504;0.985574463;0.286308375;0.704043667;0.704043667;0.592762839;0.498284385;2.94923534;0.004467645;-0.003504
0.925068107;0.271771713;0.822505628;0.64566945;0.259994003;0.336906264;2.877635273;0.005322622;-0.003535;0.991226713;0.299622905;0.707958645;0.707958645;0.599657007;0.510204115;2.949762136;0.007075944;-0.003535
0.927018653;0.269652232;0.821900181;0.645971497;0.285583886;0.342320817;2.878712916;0.003832605;-0.003587;0.992965087;0.302397734;0.708989713;0.708989713;0.617128927;0.524676085;2.951809504;0.006152191;-0.003587
0.930035276;0.27963619;0.824525103;0.648550895;0.316093218;0.377487275;2.878750077;0.003761765;-0.003581;0.995106287;0.306586584;0.709673912;0.709673912;0.647465554;0.550973683;2.953496249;0.006682679;-0.003581
0.931478238;0.280746359;0.824842885;0.650516514;0.324891094;0.385274342;2.879823104;0.004929193;-0.003423;1.001173943;0.32050888;0.715950372;0.715950372;0.65564776;0.561531704;2.954504501;0.006121938;-0.003423
0.930766678;0.281691378;0.826077039;0.64919007;0.337532424;0.405573438;2.88070113;0.005868451;-0.003639;1.000356125;0.318914596;0.720959257;0.720959257;0.674347431;0.583982439;2.95080134;0.005692014;-0.003639
0.92654783;0.282916354;0.822935141;0.646801647;0.321421294;0.393052548;2.8809487;0.008154675;-0.003618;0.999635303;0.32136585;0.720825396;0.720825396;0.662176957;0.574851701;2.955646936;0.00746495;-0.003618
0.929623281;0.28636739;0.822942809;0.647655855;0.315681528;0.380181544;2.881977332;0.009655941;-0.003627;0.995270014;0.335962665;0.722077692;0.722077692;0.646234118;0.571191496;2.954877891;0.008107439;-0.003627
0.933533121;0.289370598;0.824306989;0.649872604;0.318529338;0.374729265;2.882849546;0.008158258;-0.003605;1.00193601;0.347420549;0.725670575;0.725670575;0.640447866;0.560023338;2.956940954;0.008539184;-0.003605
0.938836362;0.302299937;0.827985305;0.647684964;0.322956297;0.38352239;2.885873357;0.0052721;-0.003679;1.007353583;0.340635158;0.734077147;0.734077147;0.644056194;0.565779286;2.955598839;0.005897397;-0.003679
0.937733619;0.304809372;0.827096866;0.644125145;0.315697349;0.374007557;2.887571055;0.004853594;-0.003616;1.002357212;0.331486767;0.733160869;0.733160869;0.624905921;0.547502473;2.953083892;0.007338803;-0.003616
